top - 20:32:41 up 21 days, 10:27,  2 users,  load average: 0.00, 0.01, 0.00
ä»»åŠ¡: 264 total,   1 running, 263 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.1 us,  0.0 sy,  0.0 ni, 99.9 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem : 16367476 total,  9993076 free,  2766608 used,  3607792 buff/cache
KiB Swap:  2097148 total,  2097148 free,        0 used. 13128560 avail Mem 

è¿›ç¨ USER      PR  NI    VIRT    RES    SHR æ  %CPU %MEM     TIME+ COMMAND
 9878 jj        20   0   45972   4024   3328 R   5.9  0.0   0:00.01 top
    1 root      20   0  205384   7604   5380 S   0.0  0.0   0:09.63 systemd
    2 root      20   0       0      0      0 S   0.0  0.0   0:00.05 kthreadd
    4 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/0:0H
    6 root      20   0       0      0      0 S   0.0  0.0   0:00.22 ksoftirqd/0
    7 root      20   0       0      0      0 S   0.0  0.0  28:03.18 rcu_sched
    8 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcu_bh
    9 root      rt   0       0      0      0 S   0.0  0.0   0:00.01 migration/0
   10 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 lru-add-drain
   11 root      rt   0       0      0      0 S   0.0  0.0   0:03.58 watchdog/0
   12 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/0
   13 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/1
   14 root      rt   0       0      0      0 S   0.0  0.0   0:03.53 watchdog/1
   15 root      rt   0       0      0      0 S   0.0  0.0   0:00.01 migration/1
   16 root      20   0       0      0      0 S   0.0  0.0   0:00.10 ksoftirqd/1
   18 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1:0H
   19 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/2
   20 root      rt   0       0      0      0 S   0.0  0.0   0:03.49 watchdog/2
   21 root      rt   0       0      0      0 S   0.0  0.0   0:00.01 migration/2
   22 root      20   0       0      0      0 S   0.0  0.0   0:00.05 ksoftirqd/2
   24 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/2:0H
   25 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/3
   26 root      rt   0       0      0      0 S   0.0  0.0   0:03.33 watchdog/3
   27 root      rt   0       0      0      0 S   0.0  0.0   0:00.01 migration/3
   28 root      20   0       0      0      0 S   0.0  0.0   0:00.10 ksoftirqd/3
   30 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/3:0H
   31 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/4
   32 root      rt   0       0      0      0 S   0.0  0.0   0:03.59 watchdog/4
   33 root      rt   0       0      0      0 S   0.0  0.0   0:00.01 migration/4
   34 root      20   0       0      0      0 S   0.0  0.0   0:00.69 ksoftirqd/4
   36 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/4:0H
   37 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/5
   38 root      rt   0       0      0      0 S   0.0  0.0   0:03.45 watchdog/5
   39 root      rt   0       0      0      0 S   0.0  0.0   0:00.01 migration/5
   40 root      20   0       0      0      0 S   0.0  0.0   0:00.02 ksoftirqd/5
   42 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/5:0H
   43 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/6
   44 root      rt   0       0      0      0 S   0.0  0.0   0:03.38 watchdog/6
   45 root      rt   0       0      0      0 S   0.0  0.0   0:00.00 migration/6
   46 root      20   0       0      0      0 S   0.0  0.0   0:00.05 ksoftirqd/6
   48 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/6:0H
   49 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/7
   50 root      rt   0       0      0      0 S   0.0  0.0   0:03.55 watchdog/7
   51 root      rt   0       0      0      0 S   0.0  0.0   0:00.01 migration/7
   52 root      20   0       0      0      0 S   0.0  0.0   0:00.04 ksoftirqd/7
   54 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/7:0H
   55 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kdevtmpfs
   56 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 netns
   57 root      20   0       0      0      0 S   0.0  0.0   0:01.60 khungtaskd
   58 root      20   0       0      0      0 S   0.0  0.0   0:00.00 oom_reaper
   59 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 writeback
   60 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kcompactd0
   61 root      25   5       0      0      0 S   0.0  0.0   0:00.00 ksmd
   62 root      39  19       0      0      0 S   0.0  0.0   0:11.56 khugepaged
   63 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 crypto
   64 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kintegrityd
   65 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   66 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kblockd
   72 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ata_sff
   73 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 md
   74 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 devfreq_wq
   75 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 watchdogd
   79 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kauditd
   80 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kswapd0
   81 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 vmstat
   82 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   83 root      20   0       0      0      0 S   0.0  0.0   0:00.00 ecryptfs-kthrea
  124 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kthrotld
  125 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 acpi_thermal_pm
  126 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
  127 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
  128 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
  129 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
  130 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
  131 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
  132 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
  133 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
  137 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ipv6_addrconf
  158 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 charger_manager
  207 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_0
  208 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_0
  209 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_1
  210 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_1
  211 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_2
  212 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_2
  213 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_3
  214 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_3
  215 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_4
  216 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_4
  217 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_5
  218 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_5
  228 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
  229 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
  234 root       0 -20       0      0      0 S   0.0  0.0   0:00.16 kworker/2:1H
  235 root       0 -20       0      0      0 S   0.0  0.0   0:03.42 kworker/3:1H
  236 root       0 -20       0      0      0 S   0.0  0.0   0:00.59 kworker/4:1H
  237 root       0 -20       0      0      0 S   0.0  0.0   0:00.19 kworker/1:1H
  238 root       0 -20       0      0      0 S   0.0  0.0   0:00.22 kworker/6:1H
  239 root       0 -20       0      0      0 S   0.0  0.0   0:00.18 kworker/0:1H
  240 root       0 -20       0      0      0 S   0.0  0.0   0:00.27 kworker/5:1H
  241 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ttm_swap
  271 root       0 -20       0      0      0 S   0.0  0.0   0:00.22 kworker/7:1H
  273 root      20   0       0      0      0 S   0.0  0.0   0:07.52 jbd2/sda1-8
  274 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ext4-rsv-conver
  307 root      20   0   99728  39524  38792 S   0.0  0.2   0:05.94 systemd-journal
  326 root      20   0   47052   4368   3068 S   0.0  0.0   0:01.41 systemd-udevd
  418 systemd+  20   0  129796   4468   3956 S   0.0  0.0   0:01.64 systemd-timesyn
  525 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 irq/29-mei_me
  761 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 led_workqueue
  831 root      20   0  300404   8704   7716 S   0.0  0.1   0:13.92 accounts-daemon
  839 root      20   0    4388   1328   1236 S   0.0  0.0   0:01.07 acpid
  842 root      20   0   46636   4748   4112 S   0.0  0.0   0:01.61 systemd-logind
  846 root      20   0  422724   9012   7260 S   0.0  0.1   0:00.01 ModemManager
  850 root      20   0   32872   3056   2764 S   0.0  0.0   0:01.39 cron
  852 root      20   0 1022116  21960  10800 S   0.0  0.1   1:30.14 snapd
